"date","open","high","low","close","stock"
2018-12-18,274500,275500,268000,271000,"SK"
2018-12-19,271500,272500,268500,271500,"SK"
2018-12-20,271000,271000,261500,265500,"SK"
2018-12-21,266000,268000,263500,267500,"SK"
2018-12-24,264500,265500,261500,262000,"SK"
2018-12-26,259500,262000,252500,255500,"SK"
2018-12-27,254500,259500,251000,258000,"SK"
2018-12-28,258500,261000,257500,260000,"SK"
2018-12-03,87100,87800,86600,87200,"삼성생명"
2018-12-04,87100,87600,86200,86600,"삼성생명"
2018-12-05,86000,87000,85400,86300,"삼성생명"
2018-12-06,86300,86600,84200,84800,"삼성생명"
2018-12-07,85000,85800,84400,85200,"삼성생명"
2018-12-10,84800,85800,84500,85500,"삼성생명"
2018-12-11,85000,85600,82000,82300,"삼성생명"
2018-12-12,81800,84100,81800,83700,"삼성생명"
2018-12-13,83900,85100,83900,84200,"삼성생명"
2018-12-14,84200,86200,83800,83900,"삼성생명"
2018-12-17,84200,85200,84200,84200,"삼성생명"
2018-12-18,84100,85000,83500,84000,"삼성생명"
2018-12-19,84400,84800,83800,84600,"삼성생명"
2018-12-20,84200,84600,83200,83700,"삼성생명"
2018-12-21,83800,84200,83300,84000,"삼성생명"
2018-12-24,84200,85000,83400,84800,"삼성생명"
2018-12-26,84200,84500,83500,84000,"삼성생명"
2018-12-27,82900,82900,81400,81500,"삼성생명"
2018-12-28,81500,82000,81300,81600,"삼성생명"
2018-12-03,199000,202000,196500,199000,"삼성에스디에스"
2018-12-04,2e+05,203000,195500,197000,"삼성에스디에스"
2018-12-05,193500,198000,193000,196500,"삼성에스디에스"
2018-12-06,196000,196500,192000,193000,"삼성에스디에스"
2018-12-07,195000,196000,192000,194500,"삼성에스디에스"
2018-12-10,190000,198000,190000,194500,"삼성에스디에스"
2018-12-11,195000,199000,193500,197000,"삼성에스디에스"
2018-12-12,199500,199500,196000,197500,"삼성에스디에스"
2018-12-13,197500,203500,196000,203500,"삼성에스디에스"
2018-12-14,202000,202000,194500,196500,"삼성에스디에스"
2018-12-17,197500,2e+05,194500,199500,"삼성에스디에스"
2018-12-18,198000,199500,195000,196000,"삼성에스디에스"
2018-12-19,196500,203000,196000,202000,"삼성에스디에스"
2018-12-20,200500,202000,197500,198500,"삼성에스디에스"
2018-12-21,198500,200500,196500,200500,"삼성에스디에스"
2018-12-24,200500,205000,198000,204500,"삼성에스디에스"
2018-12-26,2e+05,203500,196000,198000,"삼성에스디에스"
2018-12-27,199000,2e+05,196500,198500,"삼성에스디에스"
2018-12-28,201500,207500,201000,204000,"삼성에스디에스"
2018-12-03,71000,71100,69800,70500,"SK하이닉스"
2018-12-04,69900,70400,68400,69000,"SK하이닉스"
2018-12-05,67200,68800,67200,68200,"SK하이닉스"
2018-12-06,67800,68200,65700,66000,"SK하이닉스"
2018-12-07,66700,67400,66600,66800,"SK하이닉스"
2018-12-10,65900,65900,64700,65500,"SK하이닉스"
2018-12-11,66000,66600,64800,64900,"SK하이닉스"
2018-12-12,65000,66200,64900,66200,"SK하이닉스"
2018-12-13,66300,66400,64800,65500,"SK하이닉스"
2018-12-14,65200,65300,61200,61800,"SK하이닉스"
2018-12-17,61600,62500,61000,62200,"SK하이닉스"
2018-12-18,61000,61900,60800,61100,"SK하이닉스"
2018-12-19,60800,61000,59700,60300,"SK하이닉스"
2018-12-20,59300,59400,58100,58600,"SK하이닉스"
2018-12-21,58200,60500,58200,60000,"SK하이닉스"
2018-12-24,59600,60700,59200,60400,"SK하이닉스"
2018-12-26,59400,60800,59300,60100,"SK하이닉스"
2018-12-27,61600,61900,60600,61600,"SK하이닉스"
2018-12-28,61700,62300,60500,60500,"SK하이닉스"
2018-12-03,198500,204500,198000,203500,"SK이노베이션"
2018-12-04,203500,203500,198000,199000,"SK이노베이션"
2018-12-05,197500,201000,195000,199000,"SK이노베이션"
2018-12-06,196500,198000,190000,191500,"SK이노베이션"
2018-12-07,192000,193000,186500,187500,"SK이노베이션"
2018-12-10,188000,188000,183000,184000,"SK이노베이션"
2018-12-11,182500,183500,181000,181500,"SK이노베이션"
2018-12-12,183000,186000,182500,184500,"SK이노베이션"
2018-12-13,184500,186000,182000,182500,"SK이노베이션"
2018-12-14,185000,188000,182500,184500,"SK이노베이션"
2018-12-17,184500,186000,182000,182500,"SK이노베이션"
2018-12-18,180000,181000,176500,177500,"SK이노베이션"
2018-12-19,173500,180000,172000,178500,"SK이노베이션"
2018-12-20,178500,180000,176000,180000,"SK이노베이션"
2018-12-21,179500,182500,178500,182500,"SK이노베이션"
2018-12-24,182500,183000,179000,181000,"SK이노베이션"
2018-12-26,178000,183500,177000,182000,"SK이노베이션"
2018-12-27,182000,182500,178000,179000,"SK이노베이션"
2018-12-28,177500,180500,176500,179500,"SK이노베이션"
2018-12-03,211500,222000,211000,221000,"삼성SDI"
2018-12-04,221000,223500,217000,218500,"삼성SDI"
